Supplementary Table 1. Isolates used in the study,,,,,,,
,,,,,,,
Name of isolate (tree name),Laboratory number,Accession number,Year of isolation,Continent,Region within continent,Country,Source
10209_5_18_Cam024758_2007,2007-024758,ERR340774,2007,Asia,Southeast Asia,Cambodia,Blood
10209_5_19_Cam007363_2007,2007-007363,ERR340775,2007,Asia,Southeast Asia,Cambodia,Blood
10492_1_79_CamMDUST403_2012,MDUST403,ERR352332,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_42_Cam013044_2008,2003-013044,ERR360738,2008,Asia,Southeast Asia,Cambodia,Blood
10607_1_43_Cam006720_2008,2008-006720,ERR360739,2008,Asia,Southeast Asia,Cambodia,Blood
10607_1_44_Cam007824_2008,2008-007824,ERR360740,2008,Asia,Southeast Asia,Cambodia,Blood
10607_1_45_Cam010439_2008,2008-010439,ERR360741,2008,Asia,Southeast Asia,Cambodia,Blood
10607_1_46_Cam011433_2008,2008-011433,ERR360742,2008,Asia,Southeast Asia,Cambodia,Blood
10607_1_47_Cam005326_2008,2005-005326,ERR360743,2008,Asia,Southeast Asia,Cambodia,Blood
10607_1_48_Cam019983_2009,2009-019983,ERR360744,2009,Asia,Southeast Asia,Cambodia,Blood
10607_1_50_Cam011175_2009,2003-011175,ERR360746,2009,Asia,Southeast Asia,Cambodia,Blood
10607_1_51_Cam002168_2010,2010-002168,ERR360747,2010,Asia,Southeast Asia,Cambodia,Blood
10607_1_52_Cam012339_2010,2010-012339,ERR360748,2010,Asia,Southeast Asia,Cambodia,Blood
10607_1_59_Cam002088_2011,2011-002088,ERR360755,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_60_Cam000934_2011,01-2010-000934,ERR360756,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_63_Cam214318_2011,2002-214318,ERR360759,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_64_Cam008491_2011,2011-008491,ERR360760,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_65_Cam006459_2011,2010-006459,ERR360761,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_66_Cam205957_2011,2002-205957,ERR360762,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_67_Cam017523_2011,2007-017523,ERR360763,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_69_Cam009404_2011,2011-009404,ERR360765,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_70_Cam004677_2011,2009-004677,ERR360766,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_73_Cam015914_2011,2011-015914,ERR360769,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_74_Cam017747_2011,2011-017747,ERR360770,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_75_Cam017563_2011,2011-017563,ERR360771,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_76_Cam019378_2011,2011-019378,ERR360772,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_78_Cam005712_2011,01-2011-005712,ERR360774,2011,Asia,Southeast Asia,Cambodia,Blood
10607_1_79_Cam010218_2012,2012-010218,ERR360775,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_81_Cam011333_2012,2012-011333,ERR360777,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_82_Cam011024_2012,2010-011024,ERR360778,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_83_Cam019645_2012,2011-019645,ERR360779,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_84_Cam019909_2012,2009-019909,ERR360780,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_85_Cam011344_2012,2012-011344,ERR360781,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_86_Cam011089_2012,2008-011089,ERR360782,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_87_Cam010551_2012,2012-010551,ERR360783,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_89_Cam010616_2012,2012-010616,ERR360785,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_90_Cam000073_2012,01-2010-000073,ERR360786,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_91_Cam011809_2012,2012-011809,ERR360787,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_92_Cam010204_2012,2012-010204,ERR360788,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_93_Cam012355_2012,2005-012355,ERR360789,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_95_Cam015100_2012,2012-015100,ERR360791,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_96_Cam017695_2012,2012-017695,ERR360792,2012,Asia,Southeast Asia,Cambodia,Blood
10607_2_53_Cam013700_2010,2010-013700,ERR360845,2010,Asia,Southeast Asia,Cambodia,Blood
10607_2_54_Cam007692_2010,2004-007692,ERR360846,2010,Asia,Southeast Asia,Cambodia,Blood
10607_2_55_Cam000234_2010,2008-000234,ERR360847,2010,Asia,Southeast Asia,Cambodia,Blood
10607_2_56_Cam017391_2010,2009-017391,ERR360848,2010,Asia,Southeast Asia,Cambodia,Blood
10608_1_1_Cam003275_2008,2008-003275,ERR360889,2008,Asia,Southeast Asia,Cambodia,Blood
10608_1_2_Cam025892_2008,2007-025892,ERR360890,2008,Asia,Southeast Asia,Cambodia,Blood
10608_1_3_Cam007203_2008,2008-007203,ERR360891,2008,Asia,Southeast Asia,Cambodia,Blood
10608_2_4_Cam007991_2008,2008-007991,ERR360948,2008,Asia,Southeast Asia,Cambodia,Blood
10608_2_5_Cam016977_2008,2007-016977,ERR360949,2008,Asia,Southeast Asia,Cambodia,Blood
10608_2_7_Cam012004_2008,2008-012004,ERR360950,2008,Asia,Southeast Asia,Cambodia,Blood
10608_2_9_Cam012486_2010,2010-012486,ERR360952,2010,Asia,Southeast Asia,Cambodia,Blood
10608_2_11_Cam015926_2010,2010-015926,ERR360954,2010,Asia,Southeast Asia,Cambodia,Blood
10608_2_12_Cam018118_2010,2010-018118,ERR360955,2010,Asia,Southeast Asia,Cambodia,Blood
10608_2_13_Cam018908_2010,2010-018908,ERR360956,2010,Asia,Southeast Asia,Cambodia,Blood
10608_2_15_Cam005821_2010,01-2010-005821,ERR360958,2010,Asia,Southeast Asia,Cambodia,Blood
10608_2_16_Cam020905_2010,2010-020905,ERR360959,2010,Asia,Southeast Asia,Cambodia,Blood
10608_2_17_Cam024861_2010,2006-024861,ERR360960,2010,Asia,Southeast Asia,Cambodia,Blood
10608_2_18_Cam000664_2011,01-2011-000664,ERR360961,2011,Asia,Southeast Asia,Cambodia,Blood
10608_2_19_Cam024146_2011,2011-024146,ERR360962,2011,Asia,Southeast Asia,Cambodia,Blood
10608_2_21_Cam010535_2012,2012-010535,ERR360963,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_22_Cam010742_2012,2012-010742,ERR360964,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_23_Cam009188_2012,2012-009188,ERR360965,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_24_Cam018790_2012,2009-018790,ERR360966,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_25_Cam002891_2012,01-2012-002891,ERR360967,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_26_Cam020523_2012,2008-020523,ERR360968,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_28_Cam000735_2012,2003-000735,ERR360970,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_30_Cam011897_2012,2012-011897,ERR360971,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_31_Cam011885_2012,2012-011885,ERR360972,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_32_Cam011284_2012,2012-011284,ERR360973,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_35_Cam004687_2012,2012-004687,ERR360976,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_36_Cam016786_2012,2012-016786,ERR360977,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_37_Cam001056_2012,01-2010-001056,ERR360978,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_39_Cam010759_2012,2012-010759,ERR360979,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_42_Cam000742_2012,2012-000742,ERR360980,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_43_Cam010559_2012,2012-010559,ERR360981,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_44_Cam002876_2012,01-2012-002876,ERR360982,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_45_Cam012656_2012,2009-012656,ERR360983,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_48_Cam019292_2012,2010-019292,ERR360984,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_49_Cam005164_2012,01-2010-005164,ERR360985,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_50_Cam012029_2012,2012-012029,ERR360986,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_51_Cam011846_2012,2012-011846,ERR360987,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_52_Cam012131_2012,2012-012131,ERR360988,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_57_Cam006350_2012,2004-006350,ERR360990,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_58_Cam213689_2012,2002-213689,ERR360991,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_59_Cam215815_2012,2002-215815,ERR360992,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_60_Cam005568_2012,01-2011-005568,ERR360993,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_61_Cam004759_2012,01-2011-004759,ERR360994,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_62_Cam014737_2012,2012-014737,ERR360995,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_63_Cam015146_2012,2012-015146,ERR360996,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_65_Cam019308_2012,2012-019308,ERR360997,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_66_Cam020127_2012,2012-020127,ERR360998,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_67_Cam008969_2012,2011-008969,ERR360999,2012,Asia,Southeast Asia,Cambodia,Blood
10608_2_68_Cam022646_2012,2012-022646,ERR361000,2012,Asia,Southeast Asia,Cambodia,Blood
10607_1_62_Cam007188_2011,2011-007188,ERR360758,2011,Asia,Southeast Asia,Cambodia,Gallbladder fluid
10607_1_77_Cam019409_2011,2011-019409,ERR360773,2011,Asia,Southeast Asia,Cambodia,Hip joint pus
10607_1_58_Cam008387_2010,2009-008387,ERR360754,2010,Asia,Southeast Asia,Cambodia,Pleural fluid
9870_8_72_Cam002759_2012,2012-002759,ERR319473,2012,Asia,Southeast Asia,Cambodia,Stool
10607_1_80_Cam011302_2012,2012-011302,ERR360776,2012,Asia,Southeast Asia,Cambodia,Stool
10608_2_34_Cam003910_2012,01-2012-003910,ERR360975,2012,Asia,Southeast Asia,Cambodia,Stool
10607_1_49_Cam020666_2009,2009-020666,ERR360745,2009,Asia,Southeast Asia,Cambodia,Thigh pus
10349_1_39_Chin084170_2008,ERL084170,ERR343287,2008,Asia,East Asia,China,Blood
10593_2_18_ChinE02-5919_2002,E02-5919  ,ERR360631,2002,Asia,East Asia,China,Not provided
10492_1_16_ChinMDUST154_2011,MDUST154,ERR352269,2011,Asia,East Asia,China,Stool
10541_2_8_EtimorMDUST178_2011,MDUST178,ERR357445,2011,Asia,Southeast Asia,EastTimor,Stool
10349_1_5_Ind024182_2002,ERL024182                   ,ERR343253,2002,Asia,South Asia,India,Blood
10349_1_10_Ind032330_2003,ERL032330,ERR343258,2003,Asia,South Asia,India,Blood
10349_1_14_Ind04140_2004,ERL04140,ERR343262,2004,Asia,South Asia,India,Blood
10349_1_15_Ind041419_2004,ERL041419,ERR343263,2004,Asia,South Asia,India,Blood
10349_1_21_Ind052042_2005,ERL052042,ERR343269,2005,Asia,South Asia,India,Blood
10349_1_23_Ind062282_2006,ERL062282,ERR343271,2006,Asia,South Asia,India,Blood
10349_1_24_Ind063423_2006,ERL063423,ERR343272,2006,Asia,South Asia,India,Blood
10349_1_25_Ind063424_2006,ERL063424,ERR343273,2006,Asia,South Asia,India,Blood
10349_1_27_Ind0661_2006,ERL0661,ERR343275,2006,Asia,South Asia,India,Blood
10349_1_41_Ind08758_2008,ERL08758,ERR343289,2008,Asia,South Asia,India,Blood
10349_1_46_Ind091797_2009,ERL091797,ERR343294,2009,Asia,South Asia,India,Blood
10349_1_52_Ind101104_2010,ERL101104,ERR343300,2010,Asia,South Asia,India,Blood
10349_1_53_Ind101621_2010,ERL101621,ERR343301,2010,Asia,South Asia,India,Blood
10349_1_54_Ind102156_2010,ERL102156,ERR343302,2010,Asia,South Asia,India,Blood
10349_1_55_Ind102275_2010,ERL102275,ERR343303,2010,Asia,South Asia,India,Blood
10349_1_59_Ind103534_2010,ERL103534,ERR343307,2010,Asia,South Asia,India,Blood
10349_1_61_Ind1048_2010,ERL1048,ERR343309,2010,Asia,South Asia,India,Blood
10349_1_67_Ind113095_2011,ERL113095,ERR343315,2011,Asia,South Asia,India,Blood
10349_1_71_Ind114224_2011,ERL114224,ERR343319,2011,Asia,South Asia,India,Blood
10349_1_75_Ind12375_2012,ERL12375,ERR343323,2012,Asia,South Asia,India,Blood
10349_1_78_Ind12959_2012,ERL12959,ERR343326,2012,Asia,South Asia,India,Blood
10349_1_81_IndH12ESR02737_2012,H12ESR02737-001A,ERR343329,2012,Asia,South Asia,India,Blood
10349_1_82_IndH12ESR04734_2012,H12ESR04734-001A,ERR343330,2012,Asia,South Asia,India,Blood
10492_1_6_IndMDUST127_2011,MDUST127,ERR352259,2011,Asia,South Asia,India,Blood
10492_1_11_IndMDUST141_2012,MDUST141,ERR352264,2012,Asia,South Asia,India,Blood
10492_1_12_IndMDUST145_2012,MDUST145,ERR352265,2012,Asia,South Asia,India,Blood
10492_1_13_IndMDUST147_2012,MDUST147,ERR352266,2012,Asia,South Asia,India,Blood
10492_1_14_IndMDUST149_2012,MDUST149,ERR352267,2012,Asia,South Asia,India,Blood
10492_1_17_IndMDUST158_2012,MDUST158,ERR352270,2012,Asia,South Asia,India,Blood
10492_1_18_IndMDUST161_2011,MDUST161,ERR352271,2011,Asia,South Asia,India,Blood
10492_1_19_IndMDUST166_2011,MDUST166,ERR352272,2011,Asia,South Asia,India,Blood
10492_1_20_IndMDUST169_2011,MDUST169,ERR352273,2011,Asia,South Asia,India,Blood
10492_1_21_IndMDUST182_2011,MDUST182,ERR352274,2011,Asia,South Asia,India,Blood
10492_1_22_IndMDUST185_2011,MDUST185,ERR352275,2011,Asia,South Asia,India,Blood
10492_1_25_IndMDUST197_2010,MDUST197,ERR352278,2010,Asia,South Asia,India,Blood
10492_1_27_IndMDUST199_2011,MDUST199,ERR352280,2011,Asia,South Asia,India,Blood
10492_1_28_IndMDUST200_2011,MDUST200,ERR352281,2011,Asia,South Asia,India,Blood
10492_1_30_IndMDUST211_2011,MDUST211,ERR352283,2011,Asia,South Asia,India,Blood
10492_1_31_IndMDUST216_2011,MDUST216,ERR352284,2011,Asia,South Asia,India,Blood
10492_1_32_IndMDUST217_2011,MDUST217,ERR352285,2011,Asia,South Asia,India,Blood
10492_1_41_IndMDUST242_2011,MDUST242,ERR352294,2011,Asia,South Asia,India,Blood
10492_1_42_IndMDUST243_2011,MDUST243,ERR352295,2011,Asia,South Asia,India,Blood
10492_1_43_IndMDUST248_2011,MDUST248,ERR352296,2011,Asia,South Asia,India,Blood
10492_1_44_IndMDUST249_2011,MDUST249,ERR352297,2011,Asia,South Asia,India,Blood
10492_1_53_IndMDUST267_2011,MDUST267,ERR352306,2011,Asia,South Asia,India,Blood
10492_1_72_IndMDUST385_2011,MDUST385,ERR352325,2011,Asia,South Asia,India,Blood
10492_1_74_IndMDUST387_2011,MDUST387,ERR352327,2011,Asia,South Asia,India,Blood
10492_1_75_IndMDUST391_2011,MDUST391,ERR352328,2011,Asia,South Asia,India,Blood
10492_1_82_IndMDUST408_2012,MDUST408,ERR352335,2012,Asia,South Asia,India,Blood
10492_1_83_IndMDUST410_2011,MDUST410,ERR352336,2011,Asia,South Asia,India,Blood
10493_1_9_IndMDUST128_2011,MDUST128,ERR352434,2011,Asia,South Asia,India,Blood
10493_1_13_IndMDUST136_2011,MDUST136,ERR352438,2011,Asia,South Asia,India,Blood
10493_1_14_IndMDUST140_2011,MDUST140,ERR352439,2011,Asia,South Asia,India,Blood
10493_1_18_IndMDUST153_2012,MDUST153,ERR352443,2012,Asia,South Asia,India,Blood
10493_1_21_IndMDUST159_2012,MDUST159,ERR352446,2012,Asia,South Asia,India,Blood
10493_1_23_IndMDUST163_2011,MDUST163,ERR352448,2011,Asia,South Asia,India,Blood
10493_1_24_IndMDUST168_2011,MDUST168,ERR352449,2011,Asia,South Asia,India,Blood
10493_1_29_IndMDUST179_2011,MDUST179,ERR352454,2011,Asia,South Asia,India,Blood
10493_1_30_IndMDUST183_2011,MDUST183,ERR352455,2011,Asia,South Asia,India,Blood
10493_1_31_IndMDUST184_2011,MDUST184,ERR352456,2011,Asia,South Asia,India,Blood
10493_1_32_IndMDUST194_2011,MDUST194,ERR352457,2011,Asia,South Asia,India,Blood
10493_1_33_IndMDUST201_2011,MDUST201,ERR352458,2011,Asia,South Asia,India,Blood
10493_1_39_IndMDUST214_2011,MDUST214,ERR352464,2011,Asia,South Asia,India,Blood
10493_1_41_IndMDUST220_2011,MDUST220,ERR352466,2011,Asia,South Asia,India,Blood
10493_1_46_IndMDUST244_2011,MDUST244,ERR352471,2011,Asia,South Asia,India,Blood
10493_1_79_IndMDUST368_2011,MDUST368,ERR352504,2011,Asia,South Asia,India,Blood
10493_1_80_IndMDUST383_2011,MDUST383,ERR352505,2011,Asia,South Asia,India,Blood
10493_1_81_IndMDUST388_2011,MDUST388,ERR352506,2011,Asia,South Asia,India,Blood
10541_2_11_IndMDUST186_2011,MDUST186,ERR352944,2011,Asia,South Asia,India,Blood
10541_2_13_IndMDUST189_2011,MDUST189,ERR352946,2011,Asia,South Asia,India,Blood
10541_2_15_IndMDUST209_2011,MDUST209,ERR352948,2011,Asia,South Asia,India,Blood
10541_2_16_IndMDUST210_2011,MDUST210,ERR352949,2011,Asia,South Asia,India,Blood
10541_2_17_IndMDUST212_2011,MDUST212,ERR352950,2011,Asia,South Asia,India,Blood
10541_2_18_IndMDUST213_2011,MDUST213,ERR352951,2011,Asia,South Asia,India,Blood
10541_2_20_IndMDUST224_2011,MDUST224,ERR352953,2011,Asia,South Asia,India,Blood
10541_2_21_IndMDUST225_2011,MDUST225,ERR352954,2011,Asia,South Asia,India,Blood
10541_2_5_IndMDUST155_2012,MDUST155,ERR357442,2012,Asia,South Asia,India,Blood
10541_2_7_IndMDUST164_2011,MDUST164,ERR357444,2011,Asia,South Asia,India,Blood
10541_2_9_IndMDUST180_2011,MDUST180,ERR357446,2011,Asia,South Asia,India,Blood
10561_2_6_Ind113717_2011,ERL113717,ERR357581,2011,Asia,South Asia,India,Blood
10561_2_55_Ind09896_2009,ERL09896,ERR357630,2009,Asia,South Asia,India,Blood
10561_2_61_Ind102292_2010,ERL102292,ERR357636,2010,Asia,South Asia,India,Blood
10562_2_7_IndMDUST137_2011,MDUST137,ERR357762,2011,Asia,South Asia,India,Blood
10562_2_8_IndMDUST142_2012,MDUST142,ERR357763,2012,Asia,South Asia,India,Blood
10562_2_11_IndMDUST148_2012,MDUST148,ERR357766,2012,Asia,South Asia,India,Blood
10562_2_12_IndMDUST165_2011,MDUST165,ERR357767,2011,Asia,South Asia,India,Blood
10562_2_13_IndMDUST167_2011,MDUST167,ERR357768,2011,Asia,South Asia,India,Blood
10562_2_15_IndMDUST171_2011,MDUST171,ERR357770,2011,Asia,South Asia,India,Blood
10562_2_24_IndMDUST221_2011,MDUST221,ERR357779,2011,Asia,South Asia,India,Blood
10562_2_28_IndMDUST233_2010,MDUST233,ERR357783,2010,Asia,South Asia,India,Blood
10562_2_29_IndMDUST238_2011,MDUST238,ERR357784,2011,Asia,South Asia,India,Blood
10562_2_30_IndMDUST240_2011,MDUST240,ERR357785,2011,Asia,South Asia,India,Blood
10562_2_31_IndMDUST245_2011,MDUST245,ERR357786,2011,Asia,South Asia,India,Blood
10562_2_34_IndMDUST254_2010,MDUST254,ERR357789,2010,Asia,South Asia,India,Blood
10562_2_36_IndMDUST262_2011,MDUST262,ERR357791,2011,Asia,South Asia,India,Blood
10562_2_38_IndMDUST264_2011,MDUST264,ERR357793,2011,Asia,South Asia,India,Blood
10562_2_40_IndMDUST271_2011,MDUST271,ERR357795,2011,Asia,South Asia,India,Blood
10562_2_41_IndMDUST272_2011,MDUST272,ERR357796,2011,Asia,South Asia,India,Blood
10562_2_60_IndMDUST370_2011,MDUST370,ERR357815,2011,Asia,South Asia,India,Blood
10562_2_63_IndMDUST373_2011,MDUST373,ERR357818,2011,Asia,South Asia,India,Blood
10562_2_65_IndMDUST375_2011,MDUST375,ERR357820,2011,Asia,South Asia,India,Blood
10562_2_66_IndMDUST376_2011,MDUST376,ERR357821,2011,Asia,South Asia,India,Blood
10562_2_70_IndMDUST380_2011,MDUST380,ERR357825,2011,Asia,South Asia,India,Blood
10562_2_75_IndMDUST394_2011,MDUST394,ERR357830,2011,Asia,South Asia,India,Blood
10562_2_79_IndMDUST400_2012,MDUST400,ERR357834,2012,Asia,South Asia,India,Blood
10562_2_81_IndMDUST409_2011,MDUST409,ERR357836,2011,Asia,South Asia,India,Blood
10562_2_82_IndMDUST413_2011,MDUST413,ERR357837,2011,Asia,South Asia,India,Blood
10562_2_83_IndMDUST414_2011,MDUST414,ERR357838,2011,Asia,South Asia,India,Blood
8616_4_37_IndBCR43_2009,BCR43,ERR420413,2009,Asia,South Asia,India,Blood
8616_4_38_IndBCR48_2009,BCR48,ERR420414,2009,Asia,South Asia,India,Blood
8616_4_39_IndBCR49_2009,BCR49,ERR420415,2009,Asia,South Asia,India,Blood
8616_4_40_IndBCR52_2009,BCR52,ERR420416,2009,Asia,South Asia,India,Blood
8616_4_41_IndBCR62_2009,BCR62,ERR420417,2009,Asia,South Asia,India,Blood
8616_4_42_IndBCR89_2010,BCR89,ERR420418,2010,Asia,South Asia,India,Blood
8616_4_44_IndBCR108_2010,BCR108,ERR420420,2010,Asia,South Asia,India,Blood
8616_4_45_IndBCR110_2010,BCR110,ERR420421,2010,Asia,South Asia,India,Blood
8616_4_46_IndBCR162_2011,BCR162,ERR420422,2011,Asia,South Asia,India,Blood
8616_4_47_IndBCR170_2011,BCR170,ERR420423,2011,Asia,South Asia,India,Blood
8616_4_48_IndBCR175_2011,BCR175,ERR420424,2011,Asia,South Asia,India,Blood
8616_4_49_IndBCR177_2011,BCR177,ERR420425,2011,Asia,South Asia,India,Blood
8616_4_50_IndBCR191_2011,BCR191,ERR420426,2011,Asia,South Asia,India,Blood
8616_4_51_IndBCR211_2011,BCR211,ERR420427,2011,Asia,South Asia,India,Blood
8616_4_52_IndBCR232_2011,BCR232,ERR420428,2011,Asia,South Asia,India,Blood
8616_4_53_IndSP2_2009,SP2,ERR420429,2009,Asia,South Asia,India,Blood
8616_4_54_IndSP9_2009,SP9,ERR420430,2009,Asia,South Asia,India,Blood
8616_4_55_IndSP11_2009,SP11,ERR420431,2009,Asia,South Asia,India,Blood
8616_4_56_IndSP47_2009,SP47,ERR420432,2009,Asia,South Asia,India,Blood
8616_4_57_IndSP66_2009,SP66,ERR420433,2009,Asia,South Asia,India,Blood
8616_4_58_IndSP80_2011,SP80,ERR420434,2011,Asia,South Asia,India,Blood
10349_1_6_Ind02425_2002,ERL02425                      ,ERR343254,2002,Asia,South Asia,India,Stool
10349_1_16_Ind041834_2004,ERL041834,ERR343264,2004,Asia,South Asia,India,Stool
10349_1_34_Ind082356_2008,ERL082356,ERR343282,2008,Asia,South Asia,India,Stool
10349_1_38_Ind084047_2008,ERL084047,ERR343286,2008,Asia,South Asia,India,Stool
10349_1_47_Ind09383_2009,ERL09383,ERR343295,2009,Asia,South Asia,India,Stool
10349_1_72_Ind11877_2011,ERL11877,ERR343320,2011,Asia,South Asia,India,Stool
10349_1_74_Ind12148_2012,ERL12148,ERR343322,2012,Asia,South Asia,India,Stool
10349_1_76_Ind12590_2012,ERL12590,ERR343324,2012,Asia,South Asia,India,Stool
10349_1_77_Ind12680_2012,ERL12680,ERR343325,2012,Asia,South Asia,India,Stool
10561_2_66_Ind101102_2010,ERL101102,ERR357641,2010,Asia,South Asia,India,Stool
9475_4_48_IndD7558_2006,D7558,ERR279344,2006,Asia,South Asia,India,Not provided
9475_4_49_IndD7649_2007,D7649,ERR279345,2007,Asia,South Asia,India,Not provided
9475_4_50_IndC3551_2005,C3551,ERR279346,2005,Asia,South Asia,India,Not provided
9475_4_51_IndC3891_2005,C3891,ERR279347,2005,Asia,South Asia,India,Not provided
9475_4_52_IndC3495_2005,C3495,ERR279348,2005,Asia,South Asia,India,Not provided
9475_4_53_IndC3634_2005,C3634,ERR279349,2005,Asia,South Asia,India,Not provided
9475_4_54_IndE2889_2006,E2889,ERR279350,2006,Asia,South Asia,India,Not provided
9475_4_55_IndE2990_2006,E2990,ERR279351,2006,Asia,South Asia,India,Not provided
9475_4_56_IndE1240_2004,E1240,ERR279352,2004,Asia,South Asia,India,Not provided
9475_4_57_IndE1303_2004,E1303,ERR279353,2004,Asia,South Asia,India,Not provided
10592_2_37_Ind77-303_1977,77-303,ERR360485,1977,Asia,South Asia,India,Not provided
10592_2_45_IndE97-2364_1997,E97-2364  ,ERR360493,1997,Asia,South Asia,India,Not provided
10592_2_67_IndE97-2307_1997,E97-2307  ,ERR360515,1997,Asia,South Asia,India,Not provided
10593_2_5_IndE00-2756_2000,E00-2756  ,ERR360618,2000,Asia,South Asia,India,Not provided
10593_2_26_IndE00-9345_2000,E00-9345  ,ERR360639,2000,Asia,South Asia,India,Not provided
10593_2_51_IndE02-2612_2002,E02-2612  ,ERR360664,2002,Asia,South Asia,India,Not provided
10492_1_71_IndMDUST382_2011,MDUST382,ERR352324,2011,Asia,South Asia,India,Stool
10492_1_76_IndMDUST393_2011,MDUST393,ERR352329,2011,Asia,South Asia,India,Stool
10493_1_15_IndMDUST143_2012,MDUST143,ERR352440,2012,Asia,South Asia,India,Stool
10493_1_40_IndMDUST215_2011,MDUST215,ERR352465,2011,Asia,South Asia,India,Stool
10493_1_67_IndMDUST301_1988,MDUST301,ERR352492,1988,Asia,South Asia,India,Stool
10541_2_6_IndMDUST160_2012,MDUST160,ERR357443,2012,Asia,South Asia,India,Stool
10562_2_32_IndMDUST247_2011,MDUST247,ERR357787,2011,Asia,South Asia,India,Stool
10562_2_42_IndMDUST273_2011,MDUST273,ERR357797,2011,Asia,South Asia,India,Stool
10562_2_58_IndMDUST367_2011,MDUST367,ERR357813,2011,Asia,South Asia,India,Stool
10562_2_59_IndMDUST369_2011,MDUST369,ERR357814,2011,Asia,South Asia,India,Stool
10562_2_67_IndMDUST377_2011,MDUST377,ERR357822,2011,Asia,South Asia,India,Stool
10562_2_68_IndMDUST378_2011,MDUST378,ERR357823,2011,Asia,South Asia,India,Stool
10562_2_71_IndMDUST381_2011,MDUST381,ERR357826,2011,Asia,South Asia,India,Stool
10349_1_40_Ind08619_2008,ERL08619,ERR343288,2008,Asia,South Asia,India,Unknown
10349_1_79_Ind12960_2012,ERL12960,ERR343327,2012,Asia,South Asia,India,Unknown
10562_2_74_IndMDUST392_2011,MDUST392,ERR357829,2011,Asia,South Asia,India,Unknown
9953_5_4_Outgroup_ParatyphiA_IndoA270_2010,A270,ERR326600,2010,Asia,Southeast Asia,Indonesia,Blood
10060_5_11_IndoA149_2006,A149,ERR331214,2006,Asia,Southeast Asia,Indonesia,Blood
10060_5_12_IndoA150_2006,A150,ERR331215,2006,Asia,Southeast Asia,Indonesia,Blood
